iter	Logloss
0	0.6536403632
1	0.6247621974
2	0.6028724279
3	0.585248152
4	0.5666930643
5	0.5513239986
6	0.539881771
7	0.5289326636
8	0.5223617087
9	0.5170645915
10	0.5111310665
11	0.5061297797
12	0.5017312765
13	0.4984958119
14	0.4941740116
15	0.4912822959
16	0.4877041295
17	0.4835650362
18	0.4810138629
19	0.4777929145
20	0.4751227612
21	0.4726597698
22	0.4712784853
23	0.4692327745
24	0.4674667982
25	0.4660954787
26	0.4645131943
27	0.4629696646
28	0.461825925
29	0.4603968666
30	0.4587796525
31	0.4578341778
32	0.4568384056
33	0.455215973
34	0.4539901925
35	0.4520979202
36	0.4505645059
37	0.4497101787
38	0.4485311682
39	0.4467138172
40	0.4456846274
41	0.4450598771
42	0.4435988214
43	0.4426676128
44	0.441757263
45	0.4407614114
46	0.4395855074
47	0.4385557091
48	0.4374656203
49	0.4357753718
50	0.4348565292
51	0.4334372173
52	0.4329217565
53	0.4316261231
54	0.4309870322
55	0.4293761821
56	0.4282431554
57	0.4272435524
58	0.4263176176
59	0.4253417191
60	0.4237695162
61	0.4223801875
62	0.4215949882
63	0.420404648
64	0.4198421975
65	0.4193247467
66	0.4184807635
67	0.417580648
68	0.4162390423
69	0.415614399
70	0.4147707468
71	0.4134936524
72	0.4123245972
73	0.4117030705
74	0.411068173
75	0.4092898453
76	0.4085918132
77	0.4074565895
78	0.4068631089
79	0.405744766
80	0.4052910552
81	0.4046880654
82	0.4035830665
83	0.4028074823
84	0.4021073241
85	0.4008572684
86	0.4002070548
87	0.39992696
88	0.398700546
89	0.3977101603
90	0.3965772507
91	0.3960790844
92	0.3948607543
93	0.3941518712
94	0.3930155267
95	0.3922956942
96	0.391179215
97	0.3900338163
98	0.389555854
99	0.3884535112
