iter	Passed	Remaining
0	2	279
1	5	285
2	8	285
3	11	285
4	14	282
5	17	280
6	20	277
7	23	275
8	26	272
9	29	264
10	32	260
11	35	257
12	38	254
13	40	251
14	43	249
15	46	246
16	49	243
17	52	240
18	55	238
19	58	235
20	61	232
21	64	229
22	67	226
23	70	224
24	73	221
25	76	218
26	79	215
27	82	212
28	85	209
29	88	206
30	91	204
31	94	201
32	97	198
33	100	195
34	103	192
35	106	189
36	109	186
37	112	183
38	115	180
39	118	177
40	121	174
41	124	171
42	127	168
43	130	166
44	133	163
45	136	160
46	139	157
47	142	154
48	145	151
49	148	148
50	151	145
51	154	142
52	157	139
53	160	136
54	163	133
55	166	130
56	169	128
57	172	124
58	175	121
59	178	118
60	181	115
61	184	112
62	187	109
63	190	107
64	193	104
65	196	101
66	199	98
67	202	95
68	205	92
69	208	89
70	211	86
71	214	83
72	218	80
73	221	77
74	224	74
75	227	71
76	231	69
77	234	66
78	237	63
79	240	60
80	243	57
81	246	54
82	249	51
83	252	48
84	255	45
85	259	42
86	261	39
87	264	36
88	267	33
89	270	30
90	274	27
91	277	24
92	280	21
93	282	18
94	285	15
95	289	12
96	292	9
97	295	6
98	297	3
99	300	0
